,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10
76,Merced,2014,364,120,186,56,2,0,0,157,113,61,0,2,227,133,2
77,Mono,2014,365,332,21,1,3,2,6,2739,45,16,0,0,0,52,313
78,Monterey,2014,365,285,80,0,0,0,0,100,55,40,0,0,180,170,15
79,Napa,2014,365,111,254,0,0,0,0,90,69,55,0,0,24,341,0
80,Nevada,2014,365,211,120,33,1,0,0,168,100,47,0,0,352,13,0
81,Orange,2014,365,35,309,19,2,0,0,156,87,63,0,13,53,297,2
82,Placer,2014,365,116,221,23,3,2,0,265,97,57,0,0,187,178,0
83,Plumas,2014,127,58,56,10,3,0,0,158,103,52,0,0,0,127,0
84,Riverside,2014,365,11,198,122,32,1,1,541,150,93,0,0,193,115,57
85,Sacramento,2014,365,133,192,40,0,0,0,147,105,55,0,1,207,155,2
86,San Benito,2014,365,286,75,4,0,0,0,115,61,42,0,0,320,45,0
87,San Bernardino,2014,365,21,217,83,43,1,0,201,159,82,0,9,199,141,16
88,San Diego,2014,365,48,278,37,2,0,0,170,101,65,0,10,160,184,11
89,San Francisco,2014,365,249,116,0,0,0,0,97,59,39,0,41,102,222,0
90,San Joaquin,2014,365,112,219,33,1,0,0,152,99,58,0,0,173,188,4
91,San Luis Obispo,2014,365,81,270,14,0,0,0,126,87,60,0,0,115,245,5
92,San Mateo,2014,365,278,87,0,0,0,0,99,59,38,1,18,144,202,0
93,Santa Barbara,2014,365,161,198,4,2,0,0,159,66,52,0,1,143,217,4
94,Santa Clara,2014,365,216,141,7,1,0,0,154,71,46,0,12,140,212,1
95,Santa Cruz,2014,365,256,97,12,0,0,0,136,70,39,0,0,189,176,0
96,Shasta,2014,365,272,87,6,0,0,0,126,71,43,0,0,349,14,2
97,Siskiyou,2014,363,330,31,0,2,0,0,162,50,37,0,0,343,18,2
98,Solano,2014,365,171,191,3,0,0,0,124,69,51,0,1,89,275,0
99,Sonoma,2014,365,257,108,0,0,0,0,83,58,42,0,0,147,216,2
100,Stanislaus,2014,365,112,194,53,6,0,0,164,114,60,0,0,211,152,2
101,Sutter,2014,365,132,220,12,1,0,0,156,84,55,0,3,141,220,1
102,Tehama,2014,364,227,121,15,1,0,0,151,80,45,0,0,320,43,1
103,Trinity,2014,112,102,10,0,0,0,0,90,44,12,0,0,0,112,0
104,Tulare,2014,365,44,197,97,27,0,0,172,145,84,0,0,199,165,1
105,Tuolumne,2014,334,214,104,16,0,0,0,133,87,46,0,0,334,0,0
106,Ventura,2014,365,101,249,15,0,0,0,150,87,58,0,1,174,186,4
107,Yolo,2014,365,215,149,1,0,0,0,101,63,46,0,2,163,200,0
108,Alameda,2015,365,146,207,12,0,0,0,147,79,54,0,6,117,242,0
109,Alpine,2015,31,1,14,13,3,0,0,177,149,102,0,0,0,31,0
110,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0
111,Butte,2015,365,138,214,12,1,0,0,153,84,55,0,0,198,166,1
112,Calaveras,2015,365,216,127,18,1,1,2,390,90,47,0,0,250,115,0
113,Colusa,2015,365,141,218,4,1,1,0,208,73,53,0,0,89,274,2
