,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,"age-adjusted_rate_per_10,000",number_of_cases
45,Stanislaus,2017,365,127,175,55,8,0,0,185,112,61,0,1,207,150,7,56.49,3070.0
46,Sutter,2017,365,128,228,9,0,0,0,130,84,56,0,0,134,228,3,31.53,300.0
47,Tehama,2017,365,237,119,6,3,0,0,172,77,42,0,0,277,88,0,59.26,348.0
48,Trinity,2017,203,76,116,6,1,1,3,844,91,57,0,0,0,203,0,50.16,55.0
49,Tulare,2017,365,67,171,96,31,0,0,174,147,81,0,0,211,147,7,43.28,2132.0
50,Tuolumne,2017,362,231,106,25,0,0,0,143,93,44,0,0,362,0,0,53.54,244.0
51,Ventura,2017,365,117,215,20,6,5,2,961,100,57,0,0,176,182,7,34.62,2826.0
52,Yolo,2017,365,228,130,6,1,0,0,154,71,45,0,0,223,141,1,43.1,890.0
53,Alameda,2018,365,77,271,5,9,3,0,248,79,57,0,1,22,342,0,48.4,7778.0
54,Amador,2018,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0,43.83,137.0
55,Butte,2018,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1,42.13,906.0
56,Calaveras,2018,364,52,292,14,6,0,0,160,87,58,0,0,71,293,0,51.8,185.0
57,Colusa,2018,365,206,131,10,17,1,0,299,84,46,0,0,138,210,17,53.47,118.0
58,Contra Costa,2018,365,111,236,7,8,3,0,270,74,55,0,0,45,320,0,55.1,5991.0
59,Del Norte,2018,180,134,46,0,0,0,0,80,58,33,0,0,0,180,0,53.22,132.0
60,El Dorado,2018,365,221,107,27,9,1,0,203,101,45,0,0,347,9,9,34.19,564.0
61,Fresno,2018,365,61,206,79,19,0,0,185,133,75,0,0,210,151,4,66.96,6928.0
62,Glenn,2018,363,242,105,9,6,1,0,255,71,39,0,0,130,185,48,35.88,101.0
63,Humboldt,2018,365,301,58,5,1,0,0,167,58,35,0,2,231,117,15,53.04,686.0
64,Imperial,2018,365,67,248,41,7,2,0,286,108,64,0,4,103,164,94,57.85,1146.0
65,Inyo,2018,365,192,136,26,7,2,2,638,101,49,0,0,291,44,30,49.03,81.0
66,Kern,2018,365,45,190,103,27,0,0,190,142,84,0,0,226,126,13,46.18,4290.0
67,Kings,2018,365,68,239,49,9,0,0,190,114,70,0,0,161,160,44,53.69,832.0
68,Lake,2018,357,344,10,1,1,1,0,233,43,33,0,0,343,12,2,86.34,503.0
69,Los Angeles,2018,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1,47.03,46644.0
70,Madera,2018,365,122,208,30,5,0,0,169,100,58,0,0,181,160,24,50.88,812.0
71,Marin,2018,365,235,117,3,9,1,0,243,63,43,0,11,85,269,0,24.14,583.0
72,Mariposa,2018,365,156,169,10,13,15,2,352,108,53,0,0,226,139,0,47.31,68.0
73,Mendocino,2018,364,217,126,13,6,1,1,376,69,46,0,0,81,282,1,61.89,504.0
74,Merced,2018,365,110,214,32,9,0,0,178,101,56,0,1,139,224,1,59.87,1704.0
75,Mono,2018,365,252,84,14,10,3,2,1049,85,27,0,0,0,234,131,54.77,65.0
76,Monterey,2018,365,258,100,5,2,0,0,157,57,42,0,0,149,189,27,36.09,1613.0
77,Napa,2018,364,210,142,4,8,0,0,195,65,46,1,1,99,262,1,37.03,510.0
78,Nevada,2018,363,231,104,19,7,2,0,218,87,45,0,0,311,52,0,26.02,219.0
79,Orange,2018,365,114,233,15,3,0,0,160,86,54,0,17,114,231,3,26.45,8168.0
80,Placer,2018,365,213,127,16,7,2,0,248,84,46,0,12,176,174,3,32.86,1151.0
81,Plumas,2018,350,186,154,8,2,0,0,162,85,47,0,0,0,350,0,61.1,92.0
82,Riverside,2018,365,32,193,102,32,6,0,296,153,87,0,1,210,117,37,37.73,8910.0
83,Sacramento,2018,365,104,226,22,6,5,2,376,100,58,0,1,131,229,4,64.1,9633.0
84,San Benito,2018,365,270,84,11,0,0,0,143,63,42,0,0,286,78,1,56.48,318.0
85,San Bernardino,2018,365,14,197,96,51,7,0,221,164,89,0,5,197,159,4,47.22,10331.0
86,San Diego,2018,365,28,302,35,0,0,0,143,100,67,0,0,162,203,0,28.69,9424.0
87,San Francisco,2018,365,222,129,2,10,2,0,252,66,44,1,23,86,254,1,36.18,2854.0
88,San Joaquin,2018,365,91,241,20,8,4,1,365,99,59,0,0,85,276,4,60.31,4519.0
89,San Luis Obispo,2018,365,147,209,9,0,0,0,133,77,53,0,0,172,168,25,28.06,692.0
90,San Mateo,2018,365,236,116,3,10,0,0,197,61,42,0,13,90,262,0,27.38,2050.0
91,Santa Barbara,2018,365,173,190,2,0,0,0,114,67,51,0,0,167,188,10,27.37,1207.0
92,Santa Clara,2018,365,154,194,6,9,2,0,214,72,53,0,2,94,269,0,26.25,5084.0
93,Santa Cruz,2018,365,273,82,5,5,0,0,177,56,41,0,0,136,229,0,27.79,721.0
94,Shasta,2018,365,272,72,15,5,1,0,206,84,43,0,0,341,23,1,38.38,604.0
95,Siskiyou,2018,365,247,78,16,21,3,0,219,119,42,0,0,214,151,0,34.12,138.0
96,Solano,2018,365,184,166,3,11,1,0,272,69,50,0,1,120,244,0,79.02,3344.0
97,Sonoma,2018,365,304,48,3,8,2,0,250,57,39,0,2,232,130,1,37.71,1766.0
98,Stanislaus,2018,365,109,209,32,11,4,0,265,108,59,0,1,153,206,5,52.66,2899.0
99,Sutter,2018,365,94,236,22,6,6,1,420,100,58,0,0,101,263,1,29.8,291.0
100,Tehama,2018,365,208,128,16,12,1,0,206,96,48,0,0,224,141,0,48.01,288.0
101,Trinity,2018,291,117,155,12,5,2,0,209,82,54,0,0,0,291,0,59.8,57.0
102,Tulare,2018,365,50,194,95,26,0,0,180,140,79,0,0,207,152,6,32.11,1598.0
103,Tuolumne,2018,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0,47.32,220.0
104,Ventura,2018,365,94,254,16,1,0,0,166,88,57,0,0,116,238,11,30.31,2465.0
105,Yolo,2018,365,216,135,5,7,2,0,260,71,45,0,0,198,167,0,38.93,804.0
106,Alameda,2019,365,183,174,8,0,0,0,150,67,50,0,11,94,260,0,46.34,7432.0
107,Amador,2019,355,308,45,2,0,0,0,115,51,39,0,0,355,0,0,52.68,169.0
108,Butte,2019,365,171,189,3,2,0,0,180,71,51,0,0,121,243,1,37.77,752.0
109,Calaveras,2019,360,288,71,1,0,0,0,108,60,43,0,0,297,62,1,58.8,199.0
110,Colusa,2019,365,260,105,0,0,0,0,85,61,41,0,0,152,173,40,47.17,103.0
111,Contra Costa,2019,365,238,123,4,0,0,0,129,64,43,0,3,171,190,1,54.97,5888.0
112,Del Norte,2019,248,210,38,0,0,0,0,74,53,26,0,0,0,248,0,48.0,117.0
113,El Dorado,2019,365,273,86,6,0,0,0,122,74,43,0,0,353,3,9,33.25,539.0
114,Fresno,2019,365,113,186,64,2,0,0,187,115,63,0,1,229,118,17,63.37,6588.0
115,Glenn,2019,362,274,88,0,0,0,0,86,58,42,0,0,232,119,11,40.41,118.0
116,Humboldt,2019,363,340,23,0,0,0,0,69,44,28,2,1,253,70,37,49.54,614.0
117,Imperial,2019,365,94,250,19,2,0,0,185,93,61,0,0,185,128,52,61.9,1197.0
118,Inyo,2019,365,226,127,6,2,1,3,653,84,47,0,0,313,23,29,60.97,92.0
119,Kern,2019,365,91,179,87,6,1,1,553,122,69,0,1,228,108,28,46.57,4278.0
120,Kings,2019,365,123,201,37,2,0,2,508,105,58,0,0,166,130,69,47.49,752.0
121,Lake,2019,360,360,0,0,0,0,0,50,42,31,0,0,351,8,1,90.9,508.0
122,Los Angeles,2019,365,34,245,57,28,1,0,201,136,72,0,24,166,170,5,47.95,46731.0
123,Madera,2019,365,167,185,13,0,0,0,140,84,52,0,0,225,103,37,50.11,779.0
124,Marin,2019,363,291,71,1,0,0,0,133,55,37,0,10,151,202,0,23.27,540.0
