,county,year,asthma_rate,number_of_cases
170,Tuolumne,2019,44.83,185.0
171,Ventura,2019,30.65,2410.0
172,Yolo,2019,35.9,742.0
173,Yuba,2019,42.43,327.0
174,Alameda,2020,27.32,4274.0
175,Alpine,2020,,
176,Amador,2020,28.89,103.0
177,Butte,2020,23.98,473.0
178,Calaveras,2020,29.14,111.0
179,Colusa,2020,25.45,49.0
180,Contra Costa,2020,27.07,3033.0
181,Del Norte,2020,40.45,104.0
182,El Dorado,2020,21.02,351.0
183,Fresno,2020,34.74,3500.0
184,Glenn,2020,20.38,55.0
185,Humboldt,2020,34.21,442.0
186,Imperial,2020,26.7,474.0
187,Inyo,2020,26.91,46.0
188,Kern,2020,27.98,2528.0
189,Kings,2020,27.64,425.0
190,Lake,2020,44.32,269.0
191,Lassen,2020,29.64,90.0
192,Los Angeles,2020,26.6,25868.0
193,Madera,2020,31.15,473.0
194,Marin,2020,11.81,279.0
195,Mariposa,2020,23.43,31.0
196,Mendocino,2020,38.28,314.0
197,Merced,2020,37.82,1033.0
198,Modoc,2020,61.24,42.0
199,Mono,2020,36.04,40.0
200,Monterey,2020,21.34,917.0
201,Napa,2020,22.98,322.0
202,Nevada,2020,20.74,174.0
203,Orange,2020,15.88,4866.0
204,Placer,2020,16.13,621.0
205,Plumas,2020,40.49,57.0
206,Riverside,2020,24.75,5870.0
207,Sacramento,2020,35.15,5480.0
208,San Benito,2020,35.38,219.0
209,San Bernardino,2020,31.0,6752.0
210,San Diego,2020,17.69,5739.0
211,San Francisco,2020,17.02,1435.0
212,San Joaquin,2020,37.98,2941.0
213,San Luis Obispo,2020,16.84,432.0
214,San Mateo,2020,14.42,1080.0
215,Santa Barbara,2020,15.37,678.0
216,Santa Clara,2020,14.95,2810.0
217,Santa Cruz,2020,17.08,457.0
218,Shasta,2020,24.03,400.0
219,Sierra,2020,,
220,Siskiyou,2020,25.1,86.0
221,Solano,2020,40.18,1766.0
222,Sonoma,2020,18.76,884.0
223,Stanislaus,2020,32.9,1802.0
224,Sutter,2020,19.42,183.0
225,Tehama,2020,28.11,173.0
226,Trinity,2020,21.85,26.0
227,Tulare,2020,24.56,1134.0
228,Tuolumne,2020,26.74,129.0
229,Ventura,2020,17.26,1393.0
230,Yolo,2020,22.99,455.0
231,Yuba,2020,24.15,191.0
232,Alameda,2021,25.31,3862.0
233,Alpine,2021,,
234,Amador,2021,32.41,95.0
235,Butte,2021,23.72,443.0
236,Calaveras,2021,36.74,120.0
237,Colusa,2021,28.35,61.0
238,Contra Costa,2021,26.6,2907.0
239,Del Norte,2021,38.8,97.0
240,El Dorado,2021,24.18,387.0
241,Fresno,2021,34.7,3521.0
242,Glenn,2021,29.34,79.0
243,Humboldt,2021,27.67,344.0
244,Imperial,2021,21.93,400.0
245,Inyo,2021,34.43,50.0
246,Kern,2021,26.84,2440.0
247,Kings,2021,34.27,526.0
248,Lake,2021,40.32,242.0
249,Lassen,2021,28.92,89.0
250,Los Angeles,2021,26.2,24746.0
251,Madera,2021,31.19,471.0
252,Marin,2021,13.78,305.0
253,Mariposa,2021,17.51,26.0
254,Mendocino,2021,33.13,266.0
255,Merced,2021,37.24,1049.0
256,Modoc,2021,51.68,35.0
257,Mono,2021,29.35,36.0
258,Monterey,2021,22.36,968.0
259,Napa,2021,15.67,201.0
260,Nevada,2021,20.51,168.0
261,Orange,2021,16.11,4788.0
262,Placer,2021,19.86,734.0
263,Plumas,2021,26.49,39.0
264,Riverside,2021,26.0,6069.0
265,Sacramento,2021,32.46,5008.0
266,San Benito,2021,24.26,145.0
267,San Bernardino,2021,30.45,6560.0
268,San Diego,2021,17.91,5716.0
269,San Francisco,2021,17.92,1387.0
270,San Joaquin,2021,35.29,2708.0
271,San Luis Obispo,2021,16.28,411.0
272,San Mateo,2021,13.17,926.0
273,Santa Barbara,2021,15.73,672.0
274,Santa Clara,2021,14.56,2663.0
275,Santa Cruz,2021,18.52,443.0
276,Shasta,2021,25.27,409.0
277,Sierra,2021,,
278,Siskiyou,2021,21.42,76.0
279,Solano,2021,40.05,1705.0
280,Sonoma,2021,15.0,673.0
281,Stanislaus,2021,32.44,1769.0
282,Sutter,2021,23.18,215.0
283,Tehama,2021,31.38,189.0
284,Trinity,2021,26.72,33.0
285,Tulare,2021,26.95,1280.0
286,Tuolumne,2021,23.59,104.0
287,Ventura,2021,16.81,1312.0
288,Yolo,2021,22.87,436.0
289,Yuba,2021,29.34,235.0
