,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases
0,Alameda,2013,365,105,252,8,0,0,0,122,81,56,0,4,37,324,0,65.05,9960.0
1,Amador,2013,365,301,62,2,0,0,0,108,61,38,0,0,365,0,0,78.0,255.0
2,Butte,2013,365,104,252,8,1,0,0,169,90,59,0,0,160,205,0,46.86,969.0
3,Calaveras,2013,364,172,190,2,0,0,0,119,66,51,0,0,163,201,0,57.26,222.0
4,Colusa,2013,364,176,186,2,0,0,0,126,67,51,0,0,70,292,2,36.86,79.0
5,Contra Costa,2013,365,117,245,3,0,0,0,115,73,55,0,0,47,318,0,66.12,6940.0
6,Del Norte,2013,126,121,5,0,0,0,0,75,27,16,0,0,0,102,24,51.58,137.0
7,El Dorado,2013,365,221,121,23,0,0,0,147,90,45,0,0,361,4,0,34.8,576.0
8,Fresno,2013,365,35,191,114,25,0,0,197,147,88,0,1,190,169,5,72.53,7209.0
9,Glenn,2013,361,181,179,1,0,0,0,101,67,50,0,0,144,217,0,44.46,121.0
10,Humboldt,2013,365,226,138,1,0,0,0,108,62,44,1,0,84,279,1,73.98,961.0
11,Imperial,2013,365,137,189,35,3,1,0,207,101,58,4,26,186,67,82,69.11,1289.0
12,Inyo,2013,365,219,125,10,7,2,2,417,87,47,0,0,274,43,48,56.51,90.0
13,Kern,2013,365,14,215,104,31,1,0,242,148,90,0,0,154,209,2,57.89,5219.0
14,Kings,2013,365,57,213,80,14,1,0,204,130,77,0,0,184,140,41,90.07,1370.0
15,Lake,2013,364,355,9,0,0,0,0,80,44,33,0,0,357,7,0,72.48,435.0
16,Los Angeles,2013,365,8,257,75,25,0,0,197,140,79,0,14,159,191,1,51.25,49822.0
17,Madera,2013,365,31,260,64,10,0,0,190,119,72,0,0,153,208,4,52.06,829.0
18,Marin,2013,365,157,206,2,0,0,0,124,66,52,1,1,30,333,0,27.73,684.0
19,Mariposa,2013,365,128,215,21,0,1,0,255,90,56,0,0,226,138,1,44.32,64.0
20,Mendocino,2013,331,245,86,0,0,0,0,82,64,29,0,0,29,140,162,57.55,465.0
21,Merced,2013,364,105,211,43,5,0,0,165,112,62,0,1,179,182,2,81.36,2184.0
22,Mono,2013,365,311,43,6,1,0,4,3479,58,19,0,0,0,36,329,27.99,40.0
23,Monterey,2013,365,251,114,0,0,0,0,97,57,44,0,2,123,225,15,48.36,2093.0
24,Napa,2013,365,150,212,3,0,0,0,119,73,53,0,4,80,281,0,40.52,554.0
25,Nevada,2013,362,202,139,21,0,0,0,140,92,48,0,0,331,31,0,38.88,342.0
26,Orange,2013,365,79,274,12,0,0,0,143,75,59,0,18,62,282,3,32.65,9825.0
27,Placer,2013,365,126,222,13,4,0,0,165,84,55,0,3,171,191,0,32.51,1162.0
28,Plumas,2013,119,55,49,13,2,0,0,166,113,53,0,0,0,119,0,53.06,82.0
