county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases,y_pred,residual
Tehama,2013,365,233,121,11,0,0,0,136,76,44,0,0,282,82,1,51.02,305.0,53.442577688974424,-2.422577688974421
Trinity,2013,218,140,62,16,0,0,0,143,97,34,0,0,0,203,15,36.97,43.0,52.718577688974456,-15.748577688974457
Tulare,2013,365,33,194,111,26,1,0,201,143,84,0,0,200,165,0,49.4,2369.0,47.50905783810422,1.8909421618957793
Tuolumne,2013,364,284,78,2,0,0,0,119,64,43,0,0,364,0,0,57.45,278.0,50.658982969102624,6.791017030897379
Ventura,2013,365,116,238,10,1,0,0,159,77,55,0,4,160,197,4,33.73,2775.0,36.73432658054943,-3.0043265805494315
Yolo,2013,365,249,116,0,0,0,0,92,65,42,0,3,238,123,1,38.64,752.0,42.777516020293135,-4.137516020293134
Alameda,2014,365,169,186,10,0,0,0,133,72,52,0,6,88,271,0,64.37,9909.0,57.49938618068075,6.870613819319253
Amador,2014,359,263,86,10,0,0,0,133,80,42,0,0,359,0,0,64.8,227.0,60.88628924395908,3.9137107560409206
Butte,2014,365,127,224,12,2,0,0,156,84,57,0,0,181,184,0,47.25,978.0,47.256024935213695,-0.00602493521369496
Calaveras,2014,361,209,148,4,0,0,0,115,71,47,0,0,224,137,0,54.94,205.0,55.52735534634016,-0.5873553463401606
Colusa,2014,365,163,202,0,0,0,0,99,67,52,0,0,90,274,1,40.16,92.0,47.31752271836376,-7.157522718363765
Contra Costa,2014,365,150,210,5,0,0,0,133,71,53,0,0,84,281,0,64.4,6784.0,61.11808660389501,3.281913396104997
Del Norte,2014,115,108,7,0,0,0,0,60,43,16,0,0,0,115,0,48.71,128.0,57.176064636953996,-8.466064636953995
El Dorado,2014,365,223,96,43,3,0,0,163,105,45,0,0,354,4,7,37.14,602.0,41.15082229514967,-4.010822295149673
Fresno,2014,365,48,193,91,33,0,0,197,148,83,0,0,206,158,1,75.08,7633.0,71.54116147289668,3.538838527103323
Glenn,2014,365,244,120,1,0,0,0,105,61,44,0,0,205,154,6,37.94,109.0,45.23241701502145,-7.292417015021449
Humboldt,2014,365,152,207,5,1,0,0,169,69,53,0,0,54,307,4,68.07,905.0,65.96699843379392,2.103001566206075
